Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
corner-rnd_t(d=1 t=1),200000,4.996,19.984,200000,200000,199998,199873,197523,173105,71991,2054,0,0,0,0,0,0,917000876,4112,69856625,333
corner-rnd_t(d=1 t=2),200000,9.168,36.672,200000,200000,199996,199902,198171,179705,98621,6991,6,0,0,0,0,0,1085421204,4632,79501811,371
corner-rnd_t(d=1 t=3),200000,13.15,52.595,200000,200000,199999,199917,198259,181661,104974,8653,12,0,0,0,0,0,1134765092,5400,82362449,383
corner-rnd_t(d=1 t=4),200000,17.488,69.952,200000,200000,199998,199928,198362,182544,108184,9627,16,0,0,0,0,0,1162979072,5604,84015647,394
corner-rnd_t(d=1 t=5),200000,21.396,85.584,200000,200000,200000,199948,198476,183600,111765,10673,12,0,0,0,0,0,1188908916,5732,85512808,406
corner-rnd_t(d=1 t=6),200000,25.467,101.865,200000,200000,199999,199936,198505,184468,114990,11508,19,0,0,0,0,0,1214322316,5892,87015363,417
corner-rnd_t(d=1 t=7),200000,29.508,118.029,200000,200000,200000,199939,198693,185049,116974,12291,29,0,0,0,0,0,1232966280,6024,88090566,426
corner-rnd_t(d=1 t=8),200000,33.587,134.348,200000,200000,200000,199952,198684,185729,119172,12866,18,0,0,0,0,0,1250330560,6092,89120654,432
corner-rnd_t(d=1 t=9),200000,37.835,151.34,200000,200000,199999,199925,198638,186348,121320,13680,28,0,0,0,0,0,1269963492,6220,90250113,439
corner-rnd_t(d=1 t=10),200000,42.017,168.068,200000,200000,200000,199947,198722,186898,123051,14210,35,0,0,0,0,0,1284466760,6328,91112689,445
corner-rnd_t(d=2 t=1),200000,23.535,94.137,200000,200000,200000,199995,199352,185647,125071,34948,717,0,0,0,0,0,1323643116,6208,89798308,430
corner-rnd_t(d=2 t=2),10000,4.501,18,10000,10000,10000,10000,9985,9600,7450,3246,218,0,0,0,0,0,86772616,7328,5579899,506
corner-rnd_t(d=2 t=3),10000,10.583,42.332,10000,10000,10000,10000,9984,9709,8046,4318,621,0,0,0,0,0,103382308,8104,6409329,562
corner-rnd_t(d=2 t=4),10000,20.538,82.132,10000,10000,10000,10000,9994,9789,8458,5199,1059,4,0,0,0,0,118679296,11306,7155669,681
corner-rnd_t(d=2 t=5),10000,33.619,134.468,10000,10000,10000,10000,9992,9837,8685,5804,1528,22,0,0,0,0,132344524,12306,7814109,741.5
corner-rnd_t(d=2 t=6),2000,10.141,40.524,2000,2000,2000,2000,2000,1970,1786,1256,389,13,0,0,0,0,28829020,12898,1673175,779.5
corner-rnd_t(d=2 t=7),2000,14.674,58.616,2000,2000,2000,2000,2000,1980,1826,1367,486,17,0,0,0,0,31740184,14638,1812760,861
corner-rnd_t(d=2 t=8),2000,19.373,77.372,2000,2000,2000,2000,2000,1981,1815,1357,561,16,0,0,0,0,32663164,15158,1853392,886
corner-rnd_t(d=2 t=9),2000,25.402,101.434,2000,2000,2000,2000,1999,1983,1859,1467,571,26,0,0,0,0,34462348,15866,1941294,934
corner-rnd_t(d=2 t=10),2000,32.325,129.199,2000,2000,2000,2000,1999,1988,1872,1482,651,25,0,0,0,0,36160460,16170,2022991,953.5
corner-rnd_t(d=3 t=1),10000,4.229,16.913,10000,10000,10000,10000,9990,9637,7125,1831,10,0,0,0,0,0,68315216,6612,4566759,450
corner-rnd_t(d=3 t=2),2000,6.668,26.66,2000,2000,2000,2000,1999,1964,1655,772,61,0,0,0,0,0,18861076,7456,1182545,515
corner-rnd_t(d=3 t=3),2000,24.502,97.933,2000,2000,2000,2000,1999,1984,1769,1046,180,1,0,0,0,0,23519860,11490,1414954,693
corner-rnd_t(d=3 t=4),500,17.083,67.995,500,500,500,500,500,498,460,318,96,3,0,0,0,0,7355572,13630,424288,811
corner-rnd_t(d=3 t=5),500,36.673,145.691,500,500,500,500,500,498,468,345,145,8,0,0,0,0,8639028,15108,484620,891
