Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
full_wall-rnd_t(d=1 t=1),200000,7.347,29.388,200000,200000,200000,199934,197418,174983,101163,23045,897,0,0,0,0,0,1102891760,4892,77671251,352
full_wall-rnd_t(d=1 t=2),200000,13.147,52.588,200000,200000,200000,199956,197997,178558,109111,26298,1245,1,0,0,0,0,1182367576,5356,82290903,378
full_wall-rnd_t(d=1 t=3),200000,19.423,77.692,200000,200000,200000,199950,198104,179966,111216,27615,1366,1,0,0,0,0,1206948844,5440,83695544,385
full_wall-rnd_t(d=1 t=4),200000,24.8,99.2,200000,200000,200000,199955,198242,180280,112539,27840,1302,2,0,0,0,0,1216132524,5476,84253640,388
full_wall-rnd_t(d=1 t=5),200000,30.542,122.168,200000,200000,200000,199960,198301,180501,113473,28342,1429,1,0,0,0,0,1226986116,5524,84864419,392
full_wall-rnd_t(d=1 t=6),200000,36.166,144.661,200000,200000,200000,199959,198323,181089,114457,28525,1470,0,0,0,0,0,1234899724,5564,85322402,394
full_wall-rnd_t(d=1 t=7),200000,41.784,167.133,200000,200000,200000,199969,198380,181275,114943,28890,1515,3,0,0,0,0,1241787040,5588,85701868,396
full_wall-rnd_t(d=1 t=8),200000,47.339,189.351,200000,200000,200000,199958,198362,181750,115660,29173,1494,0,0,0,0,0,1248084400,5616,86071046,398
full_wall-rnd_t(d=1 t=9),200000,53.205,212.819,200000,200000,199999,199962,198386,181656,116032,30014,1522,1,0,0,0,0,1256229688,5640,86511370,400
full_wall-rnd_t(d=1 t=10),200000,58.998,235.99,200000,200000,200000,199959,198384,181975,116930,30229,1608,1,0,0,0,0,1263133804,5668,86894388,402
full_wall-rnd_t(d=2 t=1),200000,37.357,149.425,200000,200000,200000,199983,199089,187799,144238,68358,10422,50,0,0,0,0,1723144116,7036,108508298,480
full_wall-rnd_t(d=2 t=2),10000,9.773,39.088,10000,10000,10000,10000,9995,9817,8941,6564,2461,75,0,0,0,0,150781460,13824,8575004,805
full_wall-rnd_t(d=2 t=3),10000,25.612,102.441,10000,10000,10000,10000,9992,9893,9396,7695,3798,235,0,0,0,0,190405560,16252,10446447,963
full_wall-rnd_t(d=2 t=4),10000,48.715,194.815,10000,10000,10000,10000,9997,9945,9558,8357,4692,384,0,0,0,0,216815072,17024,11672791,1018.5
full_wall-rnd_t(d=2 t=5),10000,77.751,310.92,10000,10000,10000,10000,9998,9955,9664,8529,4981,467,1,0,0,0,228002272,20868,12197796,1084
full_wall-rnd_t(d=2 t=6),2000,23.054,92.091,2000,2000,2000,2000,1999,1989,1936,1751,1093,103,0,0,0,0,48023660,24632,2551899,1261
full_wall-rnd_t(d=2 t=7),2000,32.5,129.832,2000,2000,2000,2000,1999,1989,1955,1796,1165,134,0,0,0,0,50796256,26572,2678160,1374
full_wall-rnd_t(d=2 t=8),2000,43.361,173.228,2000,2000,2000,2000,1999,1996,1959,1802,1216,169,0,0,0,0,52782460,27298,2763472,1424.5
full_wall-rnd_t(d=2 t=9),2000,53.623,214.23,2000,2000,2000,2000,1999,1994,1952,1808,1177,142,0,0,0,0,51640812,26940,2716097,1400
full_wall-rnd_t(d=2 t=10),2000,67.929,271.277,2000,2000,2000,2000,1999,1996,1967,1808,1225,175,0,0,0,0,53537704,27432,2800589,1438
full_wall-rnd_t(d=3 t=1),10000,6.87,27.472,10000,10000,10000,9999,9953,9511,7565,3777,609,3,0,0,0,0,90569672,7120,5616579,488
full_wall-rnd_t(d=3 t=2),2000,15.703,62.708,2000,2000,2000,2000,2000,1971,1836,1439,714,62,0,0,0,0,35900456,15454,1965132,899
full_wall-rnd_t(d=3 t=3),2000,66.084,264.24,2000,2000,2000,2000,1998,1985,1920,1704,1082,170,0,0,0,0,48932292,23362,2565660,1200
full_wall-rnd_t(d=3 t=4),500,42.874,170.954,500,500,500,500,500,498,486,441,305,79,0,0,0,0,14273380,27668,732313,1456
full_wall-rnd_t(d=3 t=5),500,91.975,365.573,500,500,500,500,500,498,493,458,353,115,2,0,0,0,16379980,30800,819616,1556
full_wall-rnd_t(d=3 t=6),500,174.551,696.083,500,500,500,500,500,500,494,477,392,146,2,0,0,0,18609728,34728,919190,1784
full_wall-rnd_t(d=3 t=7),500,282.05,1125.89,500,500,500,500,500,498,491,474,394,157,5,0,0,0,19240772,35194,946221,1822.5
full_wall-rnd_t(d=3 t=8),500,461.128,1837.43,500,500,500,500,500,500,499,480,426,183,10,0,0,0,21463272,36380,1042405,1894.5
full_wall-rnd_t(d=3 t=9),500,671.94,2683.81,500,500,500,500,500,498,494,481,428,208,10,0,0,0,22415972,36614,1080740,1910.5
full_wall-rnd_t(d=3 t=10),500,955.359,3798.22,500,500,500,500,500,500,500,481,442,223,13,0,0,0,23338940,36990,1120540,1940
full_wall-rnd_t(d=4 t=1),10000,23.168,92.649,10000,10000,10000,10000,9975,9647,7826,3459,355,2,0,0,0,0,85652528,7100,5399842,486
full_wall-rnd_t(d=4 t=2),500,28.861,114.635,500,500,500,500,500,492,479,376,187,20,0,0,0,0,9382884,15616,509065,910
full_wall-rnd_t(d=4 t=3),500,184.269,736.128,500,500,500,500,500,500,486,439,279,62,0,0,0,0,13076840,24434,677066,1249.5
full_wall-rnd_t(d=4 t=4),500,730.932,2913.07,500,500,500,500,500,500,495,472,367,144,4,0,0,0,17945400,32680,887432,1688
full_wall-rnd_t(d=4 t=5),500,1955.06,7776.16,500,500,500,500,500,499,494,479,396,174,6,0,0,0,20433872,36126,995700,1864
full_wall-rnd_t(d=4 t=6),500,4469.48,17840.2,500,500,500,500,500,500,500,483,440,237,10,0,0,0,23331396,37298,1117954,1961
full_wall-rnd_t(d=4 t=7),500,8954.88,35556,500,500,500,500,500,500,497,490,446,257,27,0,0,0,25841348,50842,1222183,2305.5
full_wall-rnd_t(d=4 t=8),500,16013.5,63792.8,500,500,500,500,500,500,498,493,455,287,32,0,0,0,27682240,56788,1295839,2608.5
full_wall-rnd_t(d=4 t=9),500,26971.3,107708,500,500,500,500,500,500,499,492,460,317,40,0,0,0,29656196,60568,1378946,2821
full_wall-rnd_t(d=5 t=1),10000,86.947,347.693,10000,10000,10000,10000,9981,9810,8501,4211,477,0,0,0,0,0,94930100,7360,5870749,508
full_wall-rnd_t(d=5 t=2),500,254.634,1014.88,500,500,500,500,500,500,490,438,276,43,0,0,0,0,12393416,23554,647169,1219.5
full_wall-rnd_t(d=5 t=3),500,2496.32,9947.83,500,500,500,500,499,499,491,461,359,150,2,0,0,0,17745188,32040,875890,1635
full_wall-rnd_t(d=5 t=4),500,12130,48476.6,500,500,500,500,500,500,498,479,413,216,9,0,0,0,22022260,36682,1059775,1920.5
full_wall-rnd_t(d=5 t=5),500,42413.2,169088,500,500,500,500,500,500,499,485,442,269,29,0,0,0,26454248,51256,1245025,2329
full_wall-rnd_t(d=5 t=6),500,110928,442885,500,500,500,500,500,500,497,487,454,300,35,0,0,0,28442148,59046,1327648,2734.5
