Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-rnd_t(d=1 t=1),200000,3.764,15.056,200000,200000,199998,199763,189976,118944,24812,177,0,0,0,0,0,0,604740476,2832,51132868,246
merge-rnd_t(d=1 t=2),200000,5.881,23.524,200000,200000,199999,199716,189899,119430,24731,175,0,0,0,0,0,0,605140888,2844,51158851,246
merge-rnd_t(d=1 t=3),200000,8.085,32.34,200000,200000,199999,199731,190049,119192,24837,165,0,0,0,0,0,0,605269136,2844,51166536,246
merge-rnd_t(d=1 t=4),200000,10.114,40.456,200000,200000,200000,199721,189806,119418,24852,168,0,0,0,0,0,0,604837756,2840,51128517,246
merge-rnd_t(d=1 t=5),200000,12.067,48.268,200000,199999,199994,199718,189874,119439,24898,158,0,0,0,0,0,0,605328564,2844,51163785,246
merge-rnd_t(d=1 t=6),200000,14.035,56.14,200000,200000,199998,199754,190197,119671,24966,131,0,0,0,0,0,0,605674436,2848,51191544,247
merge-rnd_t(d=1 t=7),200000,15.976,63.901,200000,200000,200000,199741,189810,119309,24525,154,0,0,0,0,0,0,604041844,2840,51092105,246
merge-rnd_t(d=1 t=8),200000,17.942,71.765,200000,200000,199996,199722,189906,119213,24587,193,0,0,0,0,0,0,604500228,2840,51114657,246
merge-rnd_t(d=1 t=9),200000,19.909,79.634,200000,200000,199997,199726,189833,119361,24608,170,0,0,0,0,0,0,604356776,2840,51103853,246
merge-rnd_t(d=1 t=10),200000,21.862,87.447,200000,200000,199999,199728,190010,119268,24404,157,0,0,0,0,0,0,603902968,2844,51091151,246
merge-rnd_t(d=2 t=1),200000,23.621,94.484,200000,200000,200000,200000,199936,195127,142763,25292,33,0,0,0,0,0,1252924924,6388,85762446,435
merge-rnd_t(d=2 t=2),10000,3.78,15.118,10000,10000,10000,10000,10000,9836,7808,1916,3,0,0,0,0,0,69951948,6888,4676690,469
merge-rnd_t(d=2 t=3),10000,7.988,31.942,10000,10000,10000,10000,9997,9906,8173,2338,12,0,0,0,0,0,74411888,7048,4906428,480
merge-rnd_t(d=2 t=4),10000,13.54,54.151,10000,10000,10000,10000,9999,9907,8313,2455,15,0,0,0,0,0,75983788,7088,4992321,484
merge-rnd_t(d=2 t=5),10000,20.325,81.29,10000,10000,10000,10000,9999,9911,8323,2584,7,0,0,0,0,0,76947748,7096,5042186,486
merge-rnd_t(d=2 t=6),2000,5.796,23.157,2000,2000,2000,2000,2000,1978,1671,576,2,0,0,0,0,0,15815448,7116,1028984,487
merge-rnd_t(d=2 t=7),2000,7.768,31.056,2000,2000,2000,2000,2000,1983,1692,571,6,0,0,0,0,0,15960692,7116,1037720,488
merge-rnd_t(d=2 t=8),2000,9.904,39.585,2000,2000,2000,2000,2000,1983,1686,567,3,0,0,0,0,0,15811192,7132,1030046,489
merge-rnd_t(d=2 t=9),2000,12.188,48.706,2000,2000,2000,2000,2000,1976,1683,511,4,0,0,0,0,0,15500316,7108,1014949,486
merge-rnd_t(d=2 t=10),2000,15.186,60.682,2000,2000,2000,2000,2000,1982,1703,555,1,0,0,0,0,0,15880000,7142,1035431,490
merge-rnd_t(d=3 t=1),10000,5.339,21.349,10000,10000,10000,10000,9999,9930,8813,3335,40,0,0,0,0,0,85018404,7192,5457512,496
merge-rnd_t(d=3 t=2),2000,7.627,30.48,2000,2000,2000,2000,2000,1997,1902,1114,57,0,0,0,0,0,22040180,12050,1348885,707.5
merge-rnd_t(d=3 t=3),2000,24.463,97.792,2000,2000,2000,2000,2000,1995,1916,1267,81,0,0,0,0,0,23725988,12222,1433304,728
merge-rnd_t(d=3 t=4),500,14.539,57.937,500,500,500,500,500,498,482,349,36,0,0,0,0,0,6427724,12838,382147,775
merge-rnd_t(d=3 t=5),500,27.12,108.041,500,500,500,500,500,500,486,347,35,0,0,0,0,0,6435176,12858,383147,776
merge-rnd_t(d=3 t=6),500,47.405,188.945,500,500,500,500,500,499,491,371,41,0,0,0,0,0,6756248,14416,399527,836.5
merge-rnd_t(d=3 t=7),500,72.632,288.074,500,500,500,500,500,500,491,354,35,0,0,0,0,0,6598152,14196,391868,817
merge-rnd_t(d=3 t=8),500,108.141,428.233,500,500,500,500,500,500,488,367,46,0,0,0,0,0,6721720,14198,396682,820.5
merge-rnd_t(d=3 t=9),500,152.771,609.512,500,500,500,500,500,500,488,363,55,0,0,0,0,0,6835212,14354,401619,830
merge-rnd_t(d=3 t=10),500,211.393,842.812,500,500,500,500,500,500,491,373,57,0,0,0,0,0,6966400,14474,408406,847
merge-rnd_t(d=4 t=1),10000,22.63,90.511,10000,10000,10000,9999,9999,9980,9479,5395,250,0,0,0,0,0,107135528,11514,6571992,675
merge-rnd_t(d=4 t=2),500,18.636,74.353,500,500,500,500,500,500,496,412,113,1,0,0,0,0,8217980,15778,467078,924
merge-rnd_t(d=4 t=3),500,95.974,382.673,500,500,500,500,500,500,497,448,166,1,0,0,0,0,9529300,16202,529298,957
merge-rnd_t(d=4 t=4),500,300.496,1197.23,500,500,500,500,500,500,498,455,200,1,0,0,0,0,10168848,16346,559222,969
merge-rnd_t(d=4 t=5),500,743.409,2953.81,500,500,500,500,500,500,499,470,237,0,0,0,0,0,10865124,16592,591292,993.5
