Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
score-rnd_t(d=1 t=1),200000,2.737,10.948,200000,200000,199997,199529,185897,106575,12861,24,0,0,0,0,0,0,489313108,2376,42508133,206
score-rnd_t(d=1 t=2),200000,4.562,18.248,200000,200000,200000,199766,190409,123463,19162,52,0,0,0,0,0,0,534410144,2608,45255042,223
score-rnd_t(d=1 t=3),200000,6.442,25.768,200000,200000,200000,199828,191994,130089,22387,47,0,0,0,0,0,0,553101132,2728,46335040,229
score-rnd_t(d=1 t=4),200000,8.519,34.076,200000,200000,200000,199846,192859,133449,24464,79,0,0,0,0,0,0,564336192,2784,46979954,233
score-rnd_t(d=1 t=5),200000,10.301,41.201,200000,200000,200000,199868,193351,136456,26422,95,0,0,0,0,0,0,574340852,2836,47549488,236
score-rnd_t(d=1 t=6),200000,12.113,48.447,200000,200000,200000,199883,193812,138630,27813,86,0,0,0,0,0,0,582209808,2880,48010515,239
score-rnd_t(d=1 t=7),200000,13.937,55.748,200000,200000,200000,199884,194133,140373,28814,127,0,0,0,0,0,0,588137288,2900,48358508,240
score-rnd_t(d=1 t=8),200000,15.735,62.94,200000,200000,200000,199904,194316,141444,29652,108,0,0,0,0,0,0,592441956,2920,48614016,242
score-rnd_t(d=1 t=9),200000,17.607,70.428,200000,200000,200000,199900,194444,142542,30778,105,0,0,0,0,0,0,597514792,2940,48909792,243
score-rnd_t(d=1 t=10),200000,19.414,77.655,200000,200000,200000,199883,194647,143221,31379,119,0,0,0,0,0,0,600361228,2956,49075250,244
score-rnd_t(d=2 t=1),200000,22.768,91.072,200000,200000,200000,200000,199971,197594,162591,43883,113,0,0,0,0,0,1458579976,7016,96437912,477
score-rnd_t(d=2 t=2),10000,3.871,15.482,10000,10000,10000,10000,10000,9942,8811,3348,21,0,0,0,0,0,85013932,7208,5468636,498
score-rnd_t(d=2 t=3),10000,8.24,32.95,10000,10000,10000,10000,9999,9958,9044,3881,55,0,0,0,0,0,90558944,7328,5756832,507
score-rnd_t(d=2 t=4),10000,14.735,58.933,10000,10000,10000,10000,10000,9972,9122,4162,68,0,0,0,0,0,93350620,7408,5901636,514
score-rnd_t(d=2 t=5),10000,22.478,89.902,10000,10000,10000,10000,10000,9975,9167,4381,78,0,0,0,0,0,95776288,7472,6028752,520
score-rnd_t(d=2 t=6),2000,6.214,24.832,2000,2000,2000,2000,2000,1994,1808,835,16,0,0,0,0,0,18809212,7388,1188818,512
score-rnd_t(d=2 t=7),2000,8.515,34.029,2000,2000,2000,2000,2000,1999,1859,890,12,0,0,0,0,0,19415356,7508,1221016,524
score-rnd_t(d=2 t=8),2000,11.07,44.235,2000,2000,2000,2000,2000,1995,1840,923,20,0,0,0,0,0,19668380,7630,1232851,530
score-rnd_t(d=2 t=9),2000,13.959,55.763,2000,2000,2000,2000,2000,1999,1860,918,25,0,0,0,0,0,19837316,7586,1242348,527
score-rnd_t(d=2 t=10),2000,17.304,69.142,2000,2000,2000,2000,2000,1997,1858,952,28,0,0,0,0,0,20170824,7858,1259211,542.5
score-rnd_t(d=3 t=1),10000,5.543,22.167,10000,10000,10000,10000,10000,9985,9457,5479,217,0,0,0,0,0,107492960,11738,6587356,687.5
score-rnd_t(d=3 t=2),2000,8.366,33.415,2000,2000,2000,2000,2000,2000,1969,1538,254,0,0,0,0,0,28787704,14664,1678609,860.5
score-rnd_t(d=3 t=3),2000,27.807,111.18,2000,2000,2000,2000,2000,2000,1980,1678,367,0,0,0,0,0,31951616,15824,1830839,926.5
score-rnd_t(d=3 t=4),500,16.762,66.813,500,500,500,500,500,500,499,434,110,0,0,0,0,0,8308032,16006,472603,936
score-rnd_t(d=3 t=5),500,31.722,126.565,500,500,500,500,500,500,499,427,113,0,0,0,0,0,8448816,16110,480024,946
score-rnd_t(d=3 t=6),500,56.158,223.965,500,500,500,500,500,500,500,450,142,0,0,0,0,0,9016528,16172,506241,954
score-rnd_t(d=3 t=7),500,88.151,351.635,500,500,500,500,500,500,497,438,152,0,0,0,0,0,9094980,16186,509355,955
score-rnd_t(d=3 t=8),500,128.7,513.197,500,500,500,500,500,500,500,442,135,0,0,0,0,0,8956496,16156,503882,953.5
score-rnd_t(d=3 t=9),500,181.453,724.246,500,500,500,500,500,500,496,433,134,0,0,0,0,0,8991264,16156,505956,953.5
score-rnd_t(d=3 t=10),500,249.104,993.866,500,500,500,500,500,500,495,444,144,0,0,0,0,0,9084312,16188,510072,955
score-rnd_t(d=4 t=1),10000,24.383,97.512,10000,10000,10000,10000,10000,9996,9841,7654,1043,1,0,0,0,0,140511700,14544,8204880,852
score-rnd_t(d=4 t=2),500,20.526,81.884,500,500,500,500,500,500,500,476,216,2,0,0,0,0,10695856,16382,583728,972
score-rnd_t(d=4 t=3),500,104.53,416.577,500,500,500,500,500,500,500,485,284,3,0,0,0,0,12133812,26726,649267,1383
score-rnd_t(d=4 t=4),500,343.337,1366.03,500,500,500,500,500,500,500,485,314,11,0,0,0,0,12897692,27274,683319,1417.5
score-rnd_t(d=4 t=5),500,834.368,3319.47,500,500,500,500,500,500,500,490,327,13,0,0,0,0,13452500,27444,710721,1437
score-rnd_t(d=4 t=6),500,1691.59,6748.58,500,500,500,500,500,500,500,489,327,16,0,0,0,0,13571700,27388,715572,1436.5
score-rnd_t(d=4 t=7),500,3145.69,12553.7,500,500,500,500,500,500,500,494,352,13,0,0,0,0,13910032,27618,731312,1450.5
score-rnd_t(d=4 t=8),500,5259.31,21008,500,500,500,500,500,500,500,490,345,15,0,0,0,0,13819656,27610,726143,1452
score-rnd_t(d=4 t=9),500,8585.23,34239.6,500,500,500,500,500,500,500,497,361,22,0,0,0,0,14319808,31096,748517,1578.5
score-rnd_t(d=5 t=1),10000,95.719,382.829,10000,10000,10000,10000,10000,9999,9919,8443,2037,2,0,0,0,0,162408332,15820,9213637,921
score-rnd_t(d=5 t=2),500,176.497,704.838,500,500,500,500,500,500,500,482,337,20,0,0,0,0,13608332,27320,713591,1431
score-rnd_t(d=5 t=3),500,1340.15,5341,500,500,500,500,500,500,500,491,375,30,0,0,0,0,15076640,32432,782379,1665
score-rnd_t(d=5 t=4),500,6065.23,24122.1,500,500,500,500,500,500,500,491,416,59,0,0,0,0,16746636,35476,854846,1819.5
score-rnd_t(d=5 t=5),500,18284.9,72843.8,500,500,500,500,500,500,500,494,425,66,0,0,0,0,17390740,35808,885130,1844
score-rnd_t(d=5 t=6),500,45031.6,179414,500,500,500,500,500,500,500,497,428,75,0,0,0,0,17722140,35696,898143,1840.5
