Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
wall_gap-rnd_t(d=1 t=1),200000,7.367,29.468,200000,200000,200000,199908,196642,167506,84089,15760,282,0,0,0,0,0,962263540,3908,69866718,316
wall_gap-rnd_t(d=1 t=2),200000,13.39,53.56,200000,200000,200000,199954,197247,170870,91358,18408,428,0,0,0,0,0,1028811576,4168,73809811,333
wall_gap-rnd_t(d=1 t=3),200000,19.806,79.224,200000,200000,200000,199957,197372,171469,93099,18923,476,0,0,0,0,0,1044765676,4228,74760433,337
wall_gap-rnd_t(d=1 t=4),200000,25.346,101.381,200000,200000,200000,199946,197308,171651,93250,19309,501,0,0,0,0,0,1050179236,4244,75075382,338
wall_gap-rnd_t(d=1 t=5),200000,31.239,124.953,200000,200000,200000,199942,197459,172321,94173,19318,498,0,0,0,0,0,1057613316,4324,75538400,340
wall_gap-rnd_t(d=1 t=6),200000,37.044,148.174,200000,200000,200000,199949,197543,172508,95090,19882,543,0,0,0,0,0,1064888548,4412,75928187,342
wall_gap-rnd_t(d=1 t=7),200000,42.781,171.124,200000,200000,200000,199953,197538,172889,95416,19621,535,0,0,0,0,0,1067166720,4456,76098668,343
wall_gap-rnd_t(d=1 t=8),200000,48.533,194.131,200000,200000,200000,199947,197495,172912,95843,19909,553,0,0,0,0,0,1071993060,4500,76368207,344
wall_gap-rnd_t(d=1 t=9),200000,54.577,218.306,200000,200000,200000,199960,197573,173162,96630,20320,576,0,0,0,0,0,1078424092,4564,76715277,346
wall_gap-rnd_t(d=1 t=10),200000,60.286,241.143,200000,200000,200000,199955,197621,173393,96654,20160,568,0,0,0,0,0,1078157108,4564,76728582,346
wall_gap-rnd_t(d=2 t=1),200000,37.28,149.117,200000,200000,200000,199998,199476,190715,144556,47861,1070,0,0,0,0,0,1474878848,6904,97051336,470
wall_gap-rnd_t(d=2 t=2),10000,8.942,35.762,10000,10000,10000,10000,9993,9817,8817,5494,794,0,0,0,0,0,114371684,11474,6881683,686
wall_gap-rnd_t(d=2 t=3),10000,24.315,97.237,10000,10000,10000,10000,9996,9893,9321,7092,2204,29,0,0,0,0,151676792,14564,8647723,853
